name,workcenter_id/id,id,routing_id/id
RECEPCION MP CÁSCARA HÚMEDO,arrocesa_work_center_00,arrocesa_operacion_001,arrocesa_route_001
SECADO,arrocesa_work_center_01,arrocesa_operacion_002,arrocesa_route_002
PILADO,arrocesa_work_center_02,arrocesa_operacion_003,arrocesa_route_003
SELECCIÓN,arrocesa_work_center_03,arrocesa_operacion_004,arrocesa_route_004
ENVEJECIDO,arrocesa_work_center_04,arrocesa_operacion_005,arrocesa_route_005
VITAMINIZADO,arrocesa_work_center_05,arrocesa_operacion_006,arrocesa_route_006
ENSACADO LINEA 1 Y 2,arrocesa_work_center_06,arrocesa_operacion_007,arrocesa_route_007
EMPAQUETADO LINEAS 3 Y 4,arrocesa_work_center_07,arrocesa_operacion_008,arrocesa_route_008
EMPAQUETADO LINEA 5,arrocesa_work_center_08,arrocesa_operacion_009,arrocesa_route_009
ARROZ INTEGRAL,arrocesa_work_center_09,arrocesa_operacion_010,arrocesa_route_010
ENFARDADORA 1 ARROCESA,arrocesa_work_center_10,arrocesa_operacion_011,arrocesa_route_011
ENFARDADORA 2 PRONACA,arrocesa_work_center_11,arrocesa_operacion_012,arrocesa_route_012
ENFARDADO MANUAL ,arrocesa_work_center_12,arrocesa_operacion_013,arrocesa_route_013
POLICHADO,arrocesa_work_center_13,arrocesa_operacion_014,arrocesa_route_014
RECEPCIÓN MP PILADO ,arrocesa_work_center_14,arrocesa_operacion_015,arrocesa_route_015
